股票代码,校验时间,异常类型,异常日期,异常内容,状态
SZ123456,2026-04-19 17:26:26,文件不存在,,JSON数据文件不存在：./data/SZ123456.json,失败
SZ123456,2026-04-19 17:53:42,文件不存在,,JSON数据文件不存在：./data/SZ123456.json,失败
SZ000001,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000002,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000002,2026-04-20 00:05:17,财务百分比异常,2025一季报,净利润同比(%)=-1625.63%超出合理范围,异常
SZ000063,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000063,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000100,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000100,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000157,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000157,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000166,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000166,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000333,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000333,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000338,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000338,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000422,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000425,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000425,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000538,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000538,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000568,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000568,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000596,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000596,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000625,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000625,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000630,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000630,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000651,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000651,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000661,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000661,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000708,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000708,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000725,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000776,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000776,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000786,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000786,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000792,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000792,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000858,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000858,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000876,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000876,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000895,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000895,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000938,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000938,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000963,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000963,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000975,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000975,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000977,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000977,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000983,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000983,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ000999,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ000999,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ001965,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ001965,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ001979,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ001979,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002001,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002001,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002008,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002027,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002027,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002028,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002028,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002049,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002049,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002050,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002050,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002074,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002074,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002129,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002129,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002142,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002142,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002179,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002179,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002230,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002230,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002236,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002236,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002241,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002241,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002252,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002252,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002271,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002271,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002304,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002304,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002311,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002311,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002352,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002352,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002371,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002371,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002384,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002384,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002415,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002422,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002422,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002459,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002459,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002460,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002460,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002463,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002463,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002466,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002466,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002475,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002475,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002493,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002493,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002555,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002555,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002594,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002594,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002600,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002600,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002601,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002601,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002648,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002648,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002709,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002709,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002714,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002714,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002736,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002736,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002812,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002812,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002916,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002916,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002920,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002920,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ002938,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ002938,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ003816,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ003816,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300014,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300014,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300015,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300015,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300033,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300033,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300059,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300059,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300122,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300122,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300124,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300124,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300274,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300274,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300308,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300308,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300316,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300316,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300347,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300347,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300394,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300394,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300408,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300408,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300413,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300413,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300433,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300433,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300498,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300498,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
SZ300502,2026-04-20 00:05:17,K线数据缺失,,JSON文件缺少kline字段或K线数据为空,异常
SZ300502,2026-04-20 00:05:17,财务数据缺失,,JSON文件缺少finance字段或财务数据为空,异常
